weight,threshold,accuracy,accusation_error,tps,tns,fps,fns
Text Length,0.18618618618618618,0.6249295774647887,0.03850156087408949,3513,924,2626,37
Text Length,0.1871871871871872,0.6256338028169014,0.038302277432712216,3513,929,2621,37
Text Length,0.1881881881881882,0.6263380281690141,0.03905447070914697,3512,935,2615,38
Text Length,0.1891891891891892,0.6283098591549295,0.03850050658561297,3512,949,2601,38
Text Length,0.19019019019019018,0.6285915492957747,0.03842264914054601,3512,951,2599,38
Text Length,0.19119119119119118,0.6294366197183099,0.03819095477386935,3512,957,2593,38
Text Length,0.1921921921921922,0.6298591549295774,0.03807615230460922,3512,960,2590,38
Text Length,0.1931931931931932,0.6307042253521127,0.037848605577689244,3512,966,2584,38
Text Length,0.1941941941941942,0.6316901408450705,0.0384995064165844,3511,974,2576,39
Text Length,0.19519519519519518,0.6326760563380281,0.03823529411764706,3511,981,2569,39
Text Length,0.1961961961961962,0.6333802816901408,0.03804878048780488,3511,986,2564,39
Text Length,0.1971971971971972,0.6346478873239436,0.037717601547388784,3511,995,2555,39
Text Length,0.1981981981981982,0.6356338028169014,0.038350910834132314,3510,1003,2547,40
Text Length,0.1991991991991992,0.636056338028169,0.04,3508,1008,2542,42
Text Length,0.20020020020020018,0.6374647887323943,0.03962264150943396,3508,1018,2532,42
Text Length,0.2012012012012012,0.638169014084507,0.03943661971830986,3508,1023,2527,42
Text Length,0.2022022022022022,0.6388732394366197,0.03925233644859813,3508,1028,2522,42
Text Length,0.2032032032032032,0.6407042253521127,0.03963133640552995,3507,1042,2508,43
Text Length,0.2042042042042042,0.6414084507042254,0.04113345521023766,3505,1049,2501,45
Text Length,0.20520520520520522,0.6419718309859155,0.04181818181818182,3504,1054,2496,46
Text Length,0.2062062062062062,0.6426760563380282,0.04245709123757904,3503,1060,2490,47
Text Length,0.2072072072072072,0.6432394366197183,0.0423042304230423,3503,1064,2486,47
Text Length,0.2082082082082082,0.6446478873239436,0.04192685102586976,3503,1074,2476,47
Text Length,0.2092092092092092,0.6454929577464789,0.0417036379769299,3503,1080,2470,47
Text Length,0.21021021021021022,0.6467605633802817,0.04137323943661972,3503,1089,2461,47
Text Length,0.2112112112112112,0.6474647887323943,0.04119193689745837,3503,1094,2456,47
Text Length,0.2122122122122122,0.647887323943662,0.041884816753926704,3502,1098,2452,48
Text Length,0.2132132132132132,0.648169014084507,0.04419410745233969,3499,1103,2447,51
Text Length,0.21421421421421422,0.6494366197183099,0.043852106620808254,3499,1112,2438,51
Text Length,0.21521521521521522,0.6497183098591549,0.04688832054560955,3495,1118,2432,55
Text Length,0.21621621621621623,0.6507042253521127,0.048903878583473864,3492,1128,2422,58
Text Length,0.2172172172172172,0.6516901408450704,0.04861693210393965,3492,1135,2415,58
Text Length,0.2182182182182182,0.652112676056338,0.048494983277591976,3492,1138,2412,58
Text Length,0.21921921921921922,0.6530985915492957,0.04821280133000831,3492,1145,2405,58
Text Length,0.22022022022022023,0.653943661971831,0.04797353184449959,3492,1151,2399,58
Text Length,0.22122122122122123,0.6542253521126761,0.048639736191261336,3491,1154,2396,59
Text Length,0.2222222222222222,0.6549295774647887,0.048440065681444995,3491,1159,2391,59
Text Length,0.22322322322322322,0.6553521126760563,0.04905968928863451,3490,1163,2387,60
Text Length,0.22422422422422422,0.6553521126760563,0.04979591836734694,3489,1164,2386,61
Text Length,0.22522522522522523,0.6556338028169014,0.05190592051905921,3486,1169,2381,64
Text Length,0.22622622622622623,0.6559154929577464,0.05254648342764753,3485,1172,2378,65
Text Length,0.2272272272272272,0.6567605633802817,0.053728949478749,3483,1180,2370,67
Text Length,0.22822822822822822,0.6577464788732394,0.05342902711323764,3483,1187,2363,67
Text Length,0.22922922922922923,0.6591549295774648,0.053712480252764615,3482,1198,2352,68
Text Length,0.23023023023023023,0.6601408450704226,0.05411764705882353,3481,1206,2344,69
Text Length,0.23123123123123124,0.6609859154929577,0.05525291828793774,3479,1214,2336,71
Text Length,0.23223223223223222,0.6622535211267606,0.05486862442040186,3479,1223,2327,71
Text Length,0.23323323323323322,0.6632394366197183,0.05525709900230238,3478,1231,2319,72
Text Length,0.23423423423423423,0.663943661971831,0.05504587155963303,3478,1236,2314,72
Text Length,0.23523523523523523,0.6642253521126761,0.055640243902439025,3477,1239,2311,73
Text Length,0.23623623623623624,0.6647887323943662,0.05547112462006079,3477,1243,2307,73
Text Length,0.23723723723723725,0.6659154929577464,0.05513595166163142,3477,1251,2299,73
